                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4307,                 1.2882,                 1.1069,                0.82489,                0.60538,                0.66174,                0.35819,                 1.3698,                0.86382,                 1.0943,             0.00055481,             0.00055481,             0.00055481
                      2,                 1.4016,                0.94366,                 1.1122,                0.91888,                0.60079,                0.69022,                0.35666,                   1.54,                0.79148,                 1.1191,              0.0010555,              0.0010555,              0.0010555
                      3,                 1.3847,                0.88818,                 1.1086,                0.82386,                0.64336,                0.69832,                0.39767,                  1.354,                0.78979,                 1.0906,              0.0015012,              0.0015012,              0.0015012
                      4,                 1.3537,                0.84192,                 1.0946,                0.82196,                0.64625,                0.70109,                0.38633,                 1.3774,                0.72837,                 1.0729,              0.0014195,              0.0014195,              0.0014195
                      5,                 1.3323,                0.81199,                 1.0874,                0.87999,                 0.6619,                0.73566,                0.40414,                  1.407,                0.70474,                 1.0729,              0.0013369,              0.0013369,              0.0013369
                      6,                 1.3006,                0.77492,                 1.0706,                0.87271,                0.66839,                0.74382,                0.43947,                 1.2783,                0.68507,                 1.0493,              0.0012544,              0.0012544,              0.0012544
                      7,                 1.2776,                0.75263,                 1.0643,                0.86084,                0.69361,                 0.7585,                0.42296,                 1.3596,                0.69798,                   1.06,              0.0011719,              0.0011719,              0.0011719
                      8,                  1.264,                0.73924,                  1.056,                0.82903,                0.69921,                 0.7525,                0.44116,                 1.2439,                0.65015,                 1.0427,              0.0010894,              0.0010894,              0.0010894
                      9,                 1.2416,                0.71756,                 1.0491,                0.85763,                0.70741,                0.77239,                0.44865,                  1.266,                0.63494,                 1.0397,              0.0010069,              0.0010069,              0.0010069
                     10,                 1.2224,                0.69803,                 1.0431,                0.85405,                0.70356,                0.76352,                0.45704,                 1.2206,                0.62524,                 1.0272,             0.00092435,             0.00092435,             0.00092435
                     11,                 1.1954,                0.64998,                 1.0468,                0.87507,                0.68901,                0.76915,                0.45972,                 1.2044,                0.61624,                 1.0282,             0.00084184,             0.00084184,             0.00084184
                     12,                 1.1723,                0.62942,                 1.0401,                0.88271,                0.68175,                0.77316,                0.46852,                 1.1674,                0.60181,                  1.019,             0.00075932,             0.00075932,             0.00075932
                     13,                 1.1522,                0.61514,                 1.0291,                0.89987,                0.70386,                0.79175,                0.48226,                 1.1474,                 0.5813,                 1.0113,              0.0006768,              0.0006768,              0.0006768
                     14,                 1.1372,                0.60245,                 1.0233,                0.90199,                0.71304,                0.80416,                0.49079,                 1.1399,                 0.5711,                 1.0087,             0.00059429,             0.00059429,             0.00059429
                     15,                 1.1144,                0.58183,                 1.0167,                 0.8976,                0.71122,                 0.8025,                0.50227,                 1.0843,                0.56364,                 1.0031,             0.00051177,             0.00051177,             0.00051177
                     16,                  1.103,                 0.5737,                 1.0092,                0.85675,                0.73778,                0.80019,                 0.5041,                 1.0654,                0.55129,                 1.0002,             0.00042925,             0.00042925,             0.00042925
                     17,                 1.0874,                0.55938,                 1.0029,                0.88153,                0.73295,                0.82041,                0.51288,                 1.0611,                0.53818,                0.99212,             0.00034674,             0.00034674,             0.00034674
                     18,                  1.068,                0.54684,                0.99913,                0.90424,                0.73057,                0.82236,                0.51369,                 1.0589,                0.55064,                0.99565,             0.00026422,             0.00026422,             0.00026422
                     19,                 1.0515,                0.53697,                0.99085,                0.93737,                0.72935,                0.82921,                0.52531,                 1.0451,                0.53028,                0.99208,              0.0001817,              0.0001817,              0.0001817
                     20,                 1.0329,                0.52531,                0.98752,                0.87343,                0.77285,                0.83504,                0.52741,                 1.0263,                0.52065,                0.98722,             9.9187e-05,             9.9187e-05,             9.9187e-05
